date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:46:35	67/67	---M--	200	added ('OK')	text/plain	date:Wed,%2017%20Aug%202016%2011:46:34%20GMT	http://dance-studio.cmsmasters.net/robots.txt		(from )
14:46:37	138041/138041	---M-Z	200	added ('OK')	text/html	date:Wed,%2017%20Aug%202016%2011:46:35%20GMT	http://dance-studio.cmsmasters.net/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/index.html	(from )
14:46:38	42/42	---M--	405	error ('Method%20Not%20Allowed')	text/plain	date:Wed,%2017%20Aug%202016%2011:46:37%20GMT	http://dance-studio.cmsmasters.net/xmlrpc.php	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/xmlrpc.php	(from http://dance-studio.cmsmasters.net/)
14:46:38	15709/15709	---M-Z	200	added ('OK')	text/css	etag:%223d5d-534100ceb5a67-gzip%22	http://dance-studio.cmsmasters.net/wp-content/plugins/LayerSlider/static/css/layerslider.css?ver=5.6.8	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/wp-content/plugins/LayerSlider/static/css/layerslider76f9.css	(from http://dance-studio.cmsmasters.net/)
14:46:39	1099/1099	---M-Z	200	added ('OK')	text/css	etag:%2244b-531da7d278fce-gzip%22	http://dance-studio.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=4.4.2	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/wp-content/plugins/contact-form-7/includes/css/stylesc1f9.css	(from http://dance-studio.cmsmasters.net/)
14:46:39	24787/24787	---M-Z	200	added ('OK')	application/rss+xml	etag:%224e8c854eed8c9b9bd1ca62d61d648e46-gzip%22	http://dance-studio.cmsmasters.net/feed/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/feed/index.html	(from http://dance-studio.cmsmasters.net/)
14:46:39	7870/7870	---M-Z	200	added ('OK')	text/css	etag:%221ebe-5380bda3a0bcf-gzip%22	http://dance-studio.cmsmasters.net/wp-content/plugins/instagram-feed/css/sb-instagram.min.css?ver=1.4.6.2	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/wp-content/plugins/instagram-feed/css/sb-instagram.min9d8e.css	(from http://dance-studio.cmsmasters.net/)
14:46:40	36724/36724	---M-Z	200	added ('OK')	text/css	etag:%228f74-5356500168c40-gzip%22	http://dance-studio.cmsmasters.net/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.2.6	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/wp-content/plugins/revslider/public/assets/css/settings5223.css	(from http://dance-studio.cmsmasters.net/)
14:46:40	6562/6562	---M-Z	200	added ('OK')	application/rss+xml	etag:%22136f0d3780ca791a9dc94195f6349e72-gzip%22	http://dance-studio.cmsmasters.net/comments/feed/	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/comments/feed/index.html	(from http://dance-studio.cmsmasters.net/)
14:46:42	53853/53853	---M-Z	200	added ('OK')	text/css	etag:%22d25d-534db91229c40-gzip%22	http://dance-studio.cmsmasters.net/wp-content/themes/dance-studio/css/adaptive.css?ver=1.0.0	/Users/chencha/Documents/dev/Clients/balasi/balasi/dance-studio.cmsmasters.net/wp-content/themes/dance-studio/css/adaptive8a54.css	(from http://dance-studio.cmsmasters.net/)
